author_id,author_name,cited_by
169,Pingze Zhang,3054
170,Laurens Delva,265
171,Maria Manuela Tavares de Matos Cardoso,137
172,Samad Roshan Entezar,409
173,Rashid Manzoor,382
174,Kelly Yuliana Celis Ramirez,1024
175,Savita V Patil,29
176,Maryam Bahramipanah,219
177,Stéphane Lens,7
178,Natascha Wagner,240
179,Udo Netzelmann,1050
180,Azam Molafilabi,2
181,Jessica Torrion,210
182,Chengcheng Ji,14
183,Frances Ruth Wood,436
184,waltraud x schulze,9249
185,Raoul Kaenzig,72
186,Patrick Sprenger,38
187,kristen e. boon,593
188,Leonardo Postacchini,30
189,James O. Fiet,5954
190,Roberto Rivelino,1302
191,Qinlan Shen,35
192,Sarah J Richardson,3521
193,Jennifer Wright-Berryman,72
194,Miaofang Chi,15415
195,Randolph A. Jones,201
196,Hillel Haim,822
197,"Lopez-Alvarez,Gustavo",4737
198,Yong-Su Jin,7217
199,Maria Grazia Tozzi,2242
200,Anne-Marie Kramer,210
201,GARBA JAMILU,7
202,Sangeeta Ray Banerjee,3084
203,Giulia Galli,27120
204,Javier Ávila-Medina,88
205,Agnieszka Natalia Ksiazkiewicz,14
206,Elizabeth Maurer-Gardner,551
207,ISABELA MATEUS MARTINS,67
208,Murat Gunduz,819
209,Андрей Калинин (Andrey L. Kalinin),33
210,faruwa francis,5
211,Marjolein Lugtenberg,1388
212,Konstantin Matveev,1373
213,Judy Stone,1235
214,Vicente Plaza,5580
215,Maria del Carmen Bisi Molina,3727
216,Daniel Sacks,738
217,Miloš Stanojlović,110
218,Thomas K Doyle,2652
219,Christian Rojas,2690
220,Nancy M. DiMarco,2764
221,Mark Berendsen,672
222,Vanessa Simard,5
223,Taeyoung Lee,3735
224,Gitanjali Chandwani,29
225,Amjad Abu Saa,71
226,Changhoon Park,158
227,Sebastian Buchenberg,127
228,Florian Walder,598
229,Aybike Ulusan,7
230,Jung-Wei Chen,763
231,Leandro Miranda-Alves,659
232,Jeffrey C. Yang,122
233,Attila Barócsi,1006
234,Jean-Marc Leyssale,731
235,Tarek Moustafa,3735
236,Dr. Oscar Bomati-Miguel,1673
237,Philipp Ueffing,211
238,Aleksandra Rosa-Gruszecka,55
239,Mujeeb Ullah Chaudhry,1461
240,Jennifer E. Graham-Engeland,2026
241,NIZAR ALSHARIF,125
242,Odilon Gomes Pereira,3756
243,Ignacio Mena,1780
244,Xiaomiao Feng,3282
245,Rana M. El-Masry,6
246,Catalina Hidalgo-Nieto,5
247,Kirsty Flower,481
248,Steve Gwynne,3087
249,Wenchao Sun,578
250,Claire Cordella,15
251,Dora Neina,21
252,Michelle Monje-Deisseroth,9017
253,Dilshan S. Harischandra,515
254,Anirban Dasgupta,6269
255,Ana Akrap,1169
256,Prasad Deshpande,4181
257,Beatriz Rodriguez,52577
258,Samar Mahmoud Abdelhalim Mustafa  ,104
259,Chang Yeon Lee,2923
260,Beatriz Cebreiro López,17985
261,Olivier Lézoray,2784
262,Chung Hang Jonathan Choi,4577
263,Maria Chiara Rossi,1150
264,Ana Margarida Veiga Simão,1667
265,PEDRO APARICIO ALONSO,1923
266,Rachna Raj,876
267,Kiyo-aki Ishii,6207
268,Maria Greger,6109
269,Andrea Berger,2977
270,Cheng-Lin Liu,12715
271,Payam Zarafshan,286
272,Sudipta Mukherjee,218
273,Shaomei Wu,1384
274,Neil Schultes,2255
275,Scott C. Hagen,2095
276,Laixi shi,10
277,Ju-Young Moon,101
278,Julianne Winters,19
279,Yasutaka Shimizu,755
280,Radhika Dixit,1318
281,Anahita Kyani,370
282,Januar Harianto,56
283,Manika Khanuja,803
284,Lars Liepold,2143
285,Punam Pant,223
286,Michael Craig Watson,1409
287,Carter Newell,1655
288,Jing-Dong J. Han,9753
289,Mohamed Iskandarani,1878
290,Luc Int Panis,6216
291,Ardalan Chaichi,70
292,Pamela Whitley,995
293,Yuki Yamamoto,630
294,Cristobal Condori Quispe,95
295,Maria Dolores GARRALDA,1090
296,Colman Taylor,2648
297,Adeline Orieux,688
298,Dennis Soemers,79
299,MOHD AZRUL NAIM,50
300,Collin A. BODE,425
301,Eugene Pretorius,21
302,Chara Simitzi,166
303,Donna Paul,352
304,Farhana Begum,3
305,Canan Dagdeviren,3102
306,Hannah Landecker,2081
307,Catherine Campbell,14363
308,Wataru Shinoda,5347
309,Daniel Lopez,5110
310,munevver aksoy,315
311,Stefan Feuerriegel,843
312,Sophie Musset,13
313,Daniel Castranova,1085
314,Mee-Sook Kim,1340
315,Laura Abramovsky,1253
316,Julia B McHugh,48
317,Friedrich Fionn Dunne,32
318,Richard Bourhis,17617
319,Feng Chen (Chris),197
320,Janel Kopp,2473
321,Christina M Richardson,60
322,siwei luo,2225
323,Hari Vishal Lakhani,39
324,Andreea  (Turdeanu) Constantinescu,120
325,Kyle Gorkowski,525
326,Mehanathan Pathmanathan,127
327,Marion Le Grand,71
328,RON DANIEL JR,339
329,BERNA A. UZUNDAG,6
330,samina ismail,368
331,Joanne Edwards,8450
332,Hilda Lau,42
333,Sarah Arana,707
334,Madar Talibov,53
335,Alan R Duffy,2544
